b,Tab_2pF,Tab_3pF,Ncoll_2pF,Ncoll_3pF,Npart_2pF,Npart_3pF,dNch_2pF,dNch_3pF
8.7,0.00462505,0.00335638,0.0323754,0.0234947,0.0539588,0.0396787,0.18823,0.138139
8.8,0.00394874,0.00283491,0.0276412,0.0198444,0.046304,0.0336947,0.161402,0.117211
8.9,0.00336912,0.00239235,0.0235839,0.0167464,0.0397004,0.0285819,0.138282,0.099349
9,0.00287278,0.00201714,0.0201095,0.01412,0.0340099,0.0242191,0.118378,0.0841222
9.1,0.00244808,0.00169934,0.0171366,0.0118954,0.0291116,0.0205011,0.101261,0.0711577
9.2,0.00208495,0.00143042,0.0145946,0.010013,0.0248996,0.0173364,0.0865546,0.0601325
9.3,0.00177468,0.00120308,0.0124228,0.00842158,0.0212811,0.0146459,0.0739313,0.0507672
9.4,0.00150976,0.00101107,0.0105683,0.00707746,0.0181756,0.0123611,0.0631057,0.0428205
9.5,0.00128371,0.000849025,0.008986,0.00594317,0.0155126,0.010423,0.0538298,0.0360849
9.6,0.00109096,0.0007124,0.0076367,0.0049868,0.013231,0.00878072,0.0458881,0.0303817
9.7,0.000926687,0.000597303,0.00648681,0.00418112,0.0112778,0.0073906,0.0390941,0.0255575
9.8,0.000786778,0.000500421,0.00550744,0.00350294,0.00960711,0.00621509,0.0332864,0.0214808
9.9,0.000667684,0.000418938,0.00467379,0.00293256,0.00817909,0.00522204,0.0283254,0.0180392
10,0.000566364,0.000350461,0.00396455,0.00245323,0.00695937,0.00438393,0.0240905,0.0151363
